
mysql> SELECT Customer.c_name, Locker_room.*
Query OK, 1 row affected (0.00 sec)

    -> FROM Customer
    -> JOIN Rents ON Customer.customer_id = Rents.customer_id
    -> JOIN Locker_room ON Rents.space_id = Locker_room.space_id;
+-------------------------+----------+------------------------+----------------------------+
| c_name                  | space_id | total_rentable_lockers | lockers_available_for_rent |
| Joshua Morales          |      155 |                     49 |                         37 |
| Jennifer Thomas         |      155 |                     49 |                         37 |
| Ashley Thompson         |      155 |                     49 |                         37 |
| Derek Jones             |      155 |                     49 |                         37 |
| Anthony Brooks          |      155 |                     49 |                         37 |
| Kyle Jacobson           |      155 |                     49 |                         37 |
| Justin Copeland         |      155 |                     49 |                         37 |
| Amy Pena                |      155 |                     49 |                         37 |
| Regina Taylor           |      155 |                     49 |                         37 |
| Meredith Bolton         |      155 |                     49 |                         37 |
| Abigail Bridges         |      155 |                     49 |                         37 |
| Cindy Merritt           |      155 |                     49 |                         37 |
| Charles Jackson         |      164 |                     67 |                         35 |
| Louis Ramirez           |      164 |                     67 |                         35 |
| Colleen Riley           |      164 |                     67 |                         35 |
| Donald Garcia           |      164 |                     67 |                         35 |
| Eric Marshall           |      164 |                     67 |                         35 |
| Taylor Thompson         |      164 |                     67 |                         35 |
| Deborah Reid            |      164 |                     67 |                         35 |
| Henry Gonzales          |      164 |                     67 |                         35 |
| Mrs. Emily Fisher DVM   |      164 |                     67 |                         35 |
| Michael Miles           |      164 |                     67 |                         35 |
| Olivia Young            |      548 |                     78 |                         43 |
| Heather Black           |      550 |                     63 |                         19 |
| Brian Salinas           |      558 |                     30 |                          5 |
| Jennifer Mcbride        |      559 |                     95 |                         47 |
| Jennifer Morris         |      560 |                     84 |                         14 |
| Kara Brewer             |      561 |                     49 |                         36 |
| Bryan Flores            |      562 |                     32 |                         15 |
| Donna Downs             |      563 |                     28 |                         19 |
| Michelle Barton         |      564 |                     61 |                          5 |
| George Cooper           |      565 |                     38 |                          7 |
| Melinda Goodman         |      594 |                     50 |                         32 |
| Carolyn Lynch           |      595 |                     67 |                         12 |
| Zachary Miller          |      596 |                     99 |                         13 |
| Christina Anthony       |      597 |                     81 |                          5 |
| Ashley Santiago         |      599 |                     36 |                         24 |
| John Roth               |      609 |                     91 |                          3 |
| Brian Walker            |      610 |                     47 |                         26 |
| Julie Carter            |      611 |                     84 |                         11 |
| Megan Jacobson          |      612 |                     98 |                         41 |
| Christy Summers         |      613 |                     57 |                         36 |
| Mrs. Nancy Bartlett PhD |      614 |                     44 |                         33 |
| Timothy Booth           |      615 |                     76 |                         11 |
| Albert Barrera          |      616 |                     93 |                         30 |
| Erica Daniel            |      617 |                     29 |                         17 |
| Meghan Ewing            |      618 |                     81 |                         43 |
| Lauren Johnson          |      619 |                     36 |                         18 |
| Kathy Green             |      620 |                     47 |                         35 |
| Edward Griffin          |      621 |                     58 |                         19 |
| Lisa Hughes             |      622 |                     89 |                         37 |
| Martha Smith            |      623 |                     82 |                         31 |
| Troy Gilbert            |      624 |                     25 |                          6 |
| Jonathon Hunter         |      625 |                     47 |                         30 |
| Ana Olson               |      626 |                     82 |                         24 |
| Bridget Anderson        |      627 |                     64 |                         23 |
| Amanda Sampson          |      628 |                     66 |                         20 |
| Chad Brown              |      629 |                     63 |                         49 |
| Veronica Williamson     |      630 |                     29 |                          7 |
| Scott Larson            |      631 |                     97 |                         25 |
| Jason Stewart           |      632 |                     81 |                         19 |
| Steven Burke            |      633 |                     49 |                         29 |
| Joseph Mendoza          |      634 |                     79 |                         16 |
| Jacob Price             |      635 |                     65 |                         37 |
| Tara Wade               |      636 |                     55 |                         28 |
| Adam Mcfarland          |      637 |                     53 |                         10 |
| Haley Gilbert           |      638 |                     99 |                         42 |
| Mark Green              |      639 |                     88 |                         27 |
| Stephanie Osborn        |      640 |                     83 |                         19 |
| Mr. Steven Davis        |      641 |                     54 |                         42 |
| Cassandra Solis         |      643 |                     59 |                         17 |
| Marc Collins            |      644 |                     83 |                         19 |
| Mrs. Jessica Burke      |      645 |                     28 |                         18 |
| Calvin Carter           |      646 |                     93 |                         42 |
| Stephen Brown           |      647 |                     77 |                         26 |
| John Nash               |      648 |                     54 |                         40 |
| Brian King              |      649 |                     63 |                         20 |
| Chris Villa DVM         |      650 |                     87 |                         45 |
| Ryan Smith MD           |      651 |                     98 |                         18 |
| Brad Mitchell           |      652 |                     65 |                         40 |
| Robert Byrd             |      653 |                     93 |                         39 |
| Erica Henry             |      654 |                     62 |                         33 |
| Jessica Tran            |      655 |                     67 |                         40 |
| Andrea Thomas           |      656 |                     56 |                         25 |
| Ryan Ramirez            |      657 |                     94 |                         36 |
| Alan Brown              |      658 |                     88 |                         35 |
| Mark Carroll            |      659 |                     52 |                         18 |
| Roy Diaz                |      660 |                     43 |                         25 |
| Michael Johnson         |      661 |                     76 |                         19 |
| Elizabeth Hunter        |      662 |                     37 |                         29 |
| Chad Palmer             |      663 |                     80 |                          6 |
| Lawrence Gonzalez       |      664 |                     63 |                         12 |
| Travis Barnes           |      665 |                     79 |                         15 |
| Pamela Newman           |      666 |                     57 |                         40 |
| Eric Miller             |      667 |                     77 |                         37 |
| Christopher Davidson    |      668 |                     92 |                          7 |
| Joseph Heath            |      669 |                     49 |                         14 |
| Timothy Maddox          |      670 |                     50 |                         43 |
| Suzanne Spencer         |      671 |                     70 |                          1 |
| Christopher Sims        |      672 |                     54 |                         29 |
| Stephen Woods           |      673 |                     83 |                         24 |
| Elizabeth Weeks         |      674 |                     79 |                         16 |
| Sandra Gross            |      675 |                     41 |                         30 |
| Amy Ayala               |      676 |                     91 |                         24 |
| Jeremy Brown            |      677 |                     36 |                         16 |
| Heather Garner          |      678 |                     30 |                         11 |
| Melissa Weber           |      679 |                     68 |                         43 |
| David Lee               |      680 |                     67 |                          9 |
| Robert Morris           |      681 |                     29 |                         13 |
| William Peters          |      682 |                     95 |                         41 |
| Amy Dalton              |      683 |                     60 |                         11 |
| Kristen Evans           |      684 |                     49 |                         17 |
| Dillon Ryan             |      685 |                     90 |                         39 |
| Stephanie Watson        |      686 |                     90 |                         35 |
| Bradley Black           |      687 |                     53 |                         11 |
| Holly Browning          |      688 |                     53 |                         38 |
| Janet Jenkins MD        |      690 |                     70 |                          3 |
| Paula Ruiz              |      691 |                     80 |                         16 |
| Ryan Prince             |      692 |                     94 |                         24 |
| Joseph Cannon           |      693 |                     72 |                         32 |
| David Jones             |      694 |                     52 |                          2 |
| Jackie Salas            |      695 |                     84 |                          5 |
| John Sawyer             |      697 |                     98 |                         13 |
| Amber Watson            |      698 |                     70 |                         41 |
| Evelyn Woodard          |      699 |                     32 |                          9 |
| Anna Walsh              |      700 |                     57 |                         21 |
| Susan Watson            |      701 |                     87 |                         47 |
| Cameron Fisher          |      702 |                     28 |                          4 |
| Michael Bennett         |      703 |                     31 |                         15 |
| Christopher Bowers      |      704 |                     45 |                         14 |
| Kimberly Esparza        |      705 |                     99 |                         39 |
| David Boone             |      706 |                     79 |                         28 |
| Joseph Vasquez          |      707 |                     55 |                         14 |
| Jennifer Ward           |      708 |                     84 |                         23 |
| Sarah Thomas            |      709 |                     95 |                         44 |
| Nathaniel Johnson       |      710 |                     55 |                         10 |
| Heather Miller          |      711 |                     47 |                         36 |
| Dean Wilkerson          |      712 |                     28 |                          4 |
| Mr. Dennis Jenkins II   |      713 |                     62 |                         49 |
| Erica Turner            |      714 |                     31 |                         26 |
| Daniel Combs            |      715 |                     42 |                         26 |
| Ronald Mclaughlin       |      716 |                     91 |                         28 |
| Patricia James          |      717 |                     95 |                         26 |
| Brandon Todd            |      718 |                     87 |                         44 |
| Sheila Ayala            |      719 |                     97 |                         41 |
| Gregory Ramirez         |      720 |                     62 |                          9 |
| Andrew Wade             |      721 |                     44 |                         28 |
| Alexis James            |      722 |                     35 |                         31 |
| Virginia Bruce          |      724 |                     92 |                         24 |
| John Williams           |      725 |                     85 |                         38 |
| Morgan Gonzalez         |      726 |                     71 |                          9 |
| Joshua Jennings         |      728 |                     75 |                         22 |
| Noah Aguirre            |      729 |                     27 |                         16 |
| Sandra Hall             |      730 |                     79 |                         42 |
| Carrie Roth             |      731 |                     62 |                         30 |
| Stephanie Brown         |      732 |                     36 |                         32 |
| Ashley Mason            |      733 |                     76 |                         31 |
| Dustin Baker MD         |      734 |                     35 |                         31 |
| Victoria Alvarez        |      735 |                     69 |                          1 |
| Shawn Coleman           |      736 |                     65 |                         41 |
| James Lang              |      737 |                     26 |                         20 |
| Nicole Brown            |      738 |                     92 |                          8 |
| Carlos Miles            |      739 |                     58 |                         35 |
| Kimberly Williams       |      740 |                     52 |                         40 |
| Leah Conway             |      741 |                     38 |                          9 |
| James Sparks            |      743 |                     32 |                         19 |
| Jessica Murray          |      744 |                     79 |                         13 |
| Amy Alexander           |      746 |                     28 |                         25 |
| Kevin Shepherd          |      747 |                     38 |                         33 |
| Pam Burnett             |      748 |                     96 |                         12 |
| Ryan Miles              |      749 |                     83 |                         12 |
| James Spencer           |      750 |                     43 |                         36 |
| Lisa Carter             |      751 |                     36 |                          7 |
| Laura Williams          |      752 |                     46 |                         44 |
| Kimberly Gutierrez      |      753 |                     75 |                         40 |
| Aaron Morgan            |      754 |                     91 |                         33 |
| Frank Johnson           |      755 |                     50 |                         14 |
| Tyler Wong              |      756 |                     50 |                         36 |
| Emily Montgomery        |      757 |                     51 |                         24 |
| Tonya Williams          |      758 |                     62 |                         11 |
| Melvin Willis           |      759 |                     43 |                         18 |
| Brooke Shaw             |      760 |                     37 |                         36 |
| Jaclyn Hensley          |      761 |                     38 |                         20 |
| Heather Burgess         |      762 |                     43 |                         16 |
| Erica Santana           |      763 |                     36 |                          4 |
| Angela Thomas           |      764 |                     52 |                         39 |
| Meghan Barrett          |      765 |                     82 |                         34 |
| Jesse King              |      766 |                     95 |                         42 |
| Diana Lewis             |      767 |                     67 |                         24 |
| Michael Rodriguez       |      768 |                     42 |                         25 |
| Andrea Sawyer           |      769 |                     79 |                          9 |
| Katrina Watson          |      770 |                     27 |                          1 |
| Steven Brown            |      771 |                     74 |                         40 |
| Ricky Hernandez         |      772 |                     39 |                          2 |
| Kimberly Harrington     |      773 |                     83 |                         15 |
| Daniel Mullins          |      774 |                     52 |                         11 |
| William Holmes          |      775 |                     52 |                          2 |
| Christopher Wilkins     |      776 |                     63 |                         32 |
| Rachel Gomez            |      777 |                     85 |                         48 |
| Angela Rogers PhD       |      779 |                     30 |                         21 |
| Christina Bullock       |      780 |                     47 |                         12 |
| Matthew Horton          |      782 |                     70 |                         10 |
| Cynthia Davenport       |      783 |                     66 |                         18 |
| Hunter Ramirez          |      784 |                     51 |                          2 |
| Stephanie Marquez       |      785 |                     94 |                         17 |
| Alexander Hancock       |      786 |                     50 |                         33 |
| Brett Curry             |      787 |                     29 |                          2 |
| Christopher Douglas     |      788 |                    100 |                         24 |
| Jose Stevens            |      789 |                     97 |                         30 |
| Mr. Bruce Thompson      |      790 |                     53 |                         13 |
| Kerry Duarte            |      791 |                     74 |                         45 |
| Mrs. Laura Edwards      |      792 |                     95 |                         10 |
| Ricky Livingston        |      793 |                     81 |                         31 |
| Jeremy Stevens          |      794 |                     43 |                          8 |
| Amy Allen               |      795 |                    100 |                          9 |
| Connor Carr             |      796 |                     51 |                         31 |
| Glenda Schneider        |      797 |                     81 |                          2 |
| Nicole Olson            |      798 |                     51 |                         32 |
| Jasmine Owen            |      799 |                     27 |                         14 |
| Carolyn Miller          |      800 |                     39 |                         31 |
+-------------------------+----------+------------------------+----------------------------+
757 rows in set (0.02 sec)

mysql> EXPLAIN SELECT Customer.c_name, Locker_room.*
    -> FROM Customer
    -> JOIN Rents ON Customer.customer_id = Rents.customer_id
    -> JOIN Locker_room ON Rents.space_id = Locker_room.space_id;
+----+-------------+-------------+------------+--------+---------------+---------+---------+-------------------------+------+----------+-------------+
| id | select_type | table       | partitions | type   | possible_keys | key     | key_len | ref                     | rows | filtered | Extra       |
+----+-------------+-------------+------------+--------+---------------+---------+---------+-------------------------+------+----------+-------------+
|  1 | SIMPLE      | Rents       | NULL       | ALL    | NULL          | NULL    | NULL    | NULL                    |  793 |   100.00 | Using where |
|  1 | SIMPLE      | Locker_room | NULL       | eq_ref | PRIMARY       | PRIMARY | 2       | perfo.Rents.space_id    |    1 |   100.00 | NULL        |
|  1 | SIMPLE      | Customer    | NULL       | eq_ref | PRIMARY       | PRIMARY | 4       | perfo.Rents.customer_id |    1 |   100.00 | NULL        |
+----+-------------+-------------+------------+--------+---------------+---------+---------+-------------------------+------+----------+-------------+
3 rows in set, 1 warning (0.00 sec)

mysql> CREATE INDEX idx_customer_id ON Rents(customer_id);
Query OK, 0 rows affected (0.09 sec)
Records: 0  Duplicates: 0  Warnings: 0

mysql> CREATE INDEX idx_space_id ON Rents(space_id);
Query OK, 0 rows affected (0.03 sec)
Records: 0  Duplicates: 0  Warnings: 0

mysql> SELECT Customer.c_name, Locker_room.*
    -> FROM Customer
    -> JOIN Rents ON Customer.customer_id = Rents.customer_id
    -> JOIN Locker_room ON Rents.space_id = Locker_room.space_id;
+-------------------------+----------+------------------------+----------------------------+
| c_name                  | space_id | total_rentable_lockers | lockers_available_for_rent |
+-------------------------+----------+------------------------+----------------------------+
| Kristin Hahn            |       99 |                     38 |                         12 |
| Sarah Smith             |       91 |                     93 |                          8 |
| Bryan Scott             |       43 |                     63 |                         14 |
| Rebecca Hanson          |       95 |                     66 |                         35 |
| Mitchell Johnson        |       21 |                     98 |                         14 |
| Haley Davis             |       50 |                     51 |                         23 |
| Kevin Pierce            |       23 |                     92 |                         48 |
| Keith Barnes            |       33 |                     35 |                         35 |
| Charles Gray            |       30 |                     41 |                         11 |
| Edwin Cannon            |       14 |                     89 |                         17 |
| Eric Miller             |       46 |                     92 |                         32 |
| Keith Reed              |       41 |                     33 |                         16 |
| William Johnson         |       64 |                     48 |                         47 |
| Jasmine Tucker          |      130 |                     70 |                         35 |
| Dawn Patterson          |       35 |                     70 |                         34 |
| Laura Castro            |       19 |                     25 |                         16 |
| Alex Mcdonald           |       33 |                     35 |                         35 |
| Christian Roberts       |       19 |                     25 |                         16 |
| Melissa Jones           |       34 |                     68 |                         14 |
| Morgan Gonzalez         |      726 |                     71 |                          9 |
| James Lang              |      737 |                     26 |                         20 |
| Lori Bishop             |       52 |                     61 |                         25 |
| Daniel Christensen      |       59 |                     81 |                         27 |
| Antonio Chandler        |      130 |                     70 |                         35 |
| Michelle Brooks MD      |       26 |                     44 |                         17 |
| Victor Pierce           |       53 |                     90 |                         11 |
| Jacqueline Sanchez      |       18 |                     98 |                         29 |
| Hailey Patel            |       97 |                     65 |                         31 |
| John Sawyer             |      697 |                     98 |                         13 |
| Michael Miles           |      164 |                     67 |                         35 |
| Jason Smith             |       25 |                     41 |                         26 |
| Matthew Horton          |      782 |                     70 |                         10 |
| Jeremy Stevens          |      794 |                     43 |                          8 |
| Lori Tanner             |       35 |                     70 |                         34 |
| Cassidy Hernandez       |       42 |                     28 |                         20 |
| Stacy Owens             |       72 |                     57 |                         10 |
| Max Lambert             |       32 |                     53 |                         12 |
| Sara Harris             |       97 |                     65 |                         31 |
| Tyler Wong              |      756 |                     50 |                         36 |
| Eric Marshall           |      164 |                     67 |                         35 |
| Joel Noble              |       25 |                     41 |                         26 |
| Carlos Miles            |      739 |                     58 |                         35 |
| Ronald Mclaughlin       |      716 |                     91 |                         28 |
| Russell Cole            |       33 |                     35 |                         35 |
| Joseph Mendoza          |      634 |                     79 |                         16 |
| Melissa Miller          |       18 |                     98 |                         29 |
| Stephen Woods           |      673 |                     83 |                         24 |
| Deanna Higgins          |       41 |                     33 |                         16 |
| Amy Burns               |       59 |                     81 |                         27 |
| Paul Rose               |       27 |                     74 |                         33 |
| Joshua Morales          |      155 |                     49 |                         37 |
| Jesse King              |      766 |                     95 |                         42 |
| Phillip Vaughn          |       45 |                     28 |                         22 |
| Christina Bullock       |      780 |                     47 |                         12 |
| Brandon Wilson          |       88 |                     91 |                         49 |
| Suzanne Spencer         |      671 |                     70 |                          1 |
| Susan Montes            |       93 |                     39 |                         10 |
| Heather Lowe            |      155 |                     49 |                         37 |
| Melvin Willis           |      759 |                     43 |                         18 |
| Joshua Lee              |       44 |                     30 |                         24 |
| Angela Hendricks        |       35 |                     70 |                         34 |
| Joshua Jennings         |      728 |                     75 |                         22 |
| Joseph Johnson          |       16 |                     94 |                         29 |
| Michelle Hubbard        |       71 |                     67 |                         10 |
| Mike Garcia             |       50 |                     51 |                         23 |
| Kristen Evans           |      684 |                     49 |                         17 |
| Amanda Mercado          |       49 |                     49 |                         42 |
| Erica Daniel            |       88 |                     91 |                         49 |
| Brian Valdez            |       19 |                     25 |                         16 |
| Mary Burke              |        8 |                     49 |                         38 |
| Michael Stewart         |       88 |                     91 |                         49 |
| Christopher Bowers      |      704 |                     45 |                         14 |
| Brittany Barrett        |        2 |                     94 |                         19 |
| Allen Sanders           |       92 |                     89 |                         48 |
| Robert Morris           |      681 |                     29 |                         13 |
| Megan Jacobson          |      612 |                     98 |                         41 |
| Aaron Duncan            |       64 |                     48 |                         47 |
| Stephanie Watson        |      686 |                     90 |                         35 |
| Zachary Hull            |       97 |                     65 |                         31 |
| Audrey Snow             |       18 |                     98 |                         29 |
| Brian Pena              |       30 |                     41 |                         11 |
| Julie Sanchez           |       33 |                     35 |                         35 |
| Anna Suarez             |       39 |                     96 |                         33 |
| Jeff Torres             |       28 |                     59 |                         20 |
| Alan Armstrong          |       11 |                    100 |                         47 |
| Sharon Welch            |       11 |                    100 |                         47 |
| Kevin Kennedy           |       20 |                     54 |                         46 |
| Stephen Brown           |      647 |                     77 |                         26 |
| Alexis James            |      722 |                     35 |                         31 |
| John Williams           |      725 |                     85 |                         38 |
| Scott Brown             |       22 |                     67 |                         22 |
| Christopher Smith       |       46 |                     92 |                         32 |
| Daniel Mullins          |      774 |                     52 |                         11 |
| Kyle Jacobson           |      155 |                     49 |                         37 |
| Katherine Potts         |       29 |                     72 |                         18 |
| Lauren Moreno           |       94 |                     70 |                         48 |
| Zachary Jones           |       20 |                     54 |                         46 |
| Todd Bowman             |       36 |                     62 |                          4 |
| Alexander Nguyen        |       12 |                     78 |                         47 |
| Daniel Combs            |      715 |                     42 |                         26 |
| Tina Harris             |       59 |                     81 |                         27 |
| Rachel Clark            |       14 |                     89 |                         17 |
| Deborah Reid            |      164 |                     67 |                         35 |
| George Keller           |       48 |                     29 |                          5 |
| Brent Clarke DVM        |       94 |                     70 |                         48 |
| William Powell          |       53 |                     90 |                         11 |
| Kelsey Welch            |        9 |                     85 |                         47 |
| Cheryl Santiago         |       24 |                     34 |                         19 |
| Amber Wood              |       18 |                     98 |                         29 |
| Keith Harper            |       30 |                     41 |                         11 |
| Tonya Williams          |      758 |                     62 |                         11 |
| Cindy Merritt           |      155 |                     49 |                         37 |
| Robert Thompson         |       92 |                     89 |                         48 |
| Shawna Montoya          |       27 |                     74 |                         33 |
| Jennifer Wood           |       50 |                     51 |                         23 |
| Patricia Charles        |      130 |                     70 |                         35 |
| Erica Turner            |      714 |                     31 |                         26 |
| Mary Pratt              |       40 |                     43 |                         12 |
| Mike Rogers             |       16 |                     94 |                         29 |
| Holly Browning          |      688 |                     53 |                         38 |
| Meghan Barrett          |      765 |                     82 |                         34 |
| Justin Copeland         |      155 |                     49 |                         37 |
| David Oneal             |       44 |                     30 |                         24 |
| Rhonda Chavez           |       54 |                     85 |                          2 |
| Terri Wright            |        6 |                     34 |                         16 |
| Tonya Hamilton          |       64 |                     48 |                         47 |
| Logan Walton            |       57 |                     91 |                         27 |
| Julie Carter            |      611 |                     84 |                         11 |
| Natalie Newman          |       53 |                     90 |                         11 |
| Joseph Cannon           |      693 |                     72 |                         32 |
| Anthony Watkins         |       18 |                     98 |                         29 |
| Justin Warren           |       33 |                     35 |                         35 |
| Ashley Mason            |      733 |                     76 |                         31 |
| Elizabeth Moore         |       99 |                     38 |                         12 |
| Mathew Parker           |       49 |                     49 |                         42 |
| Michaela Hudson         |       16 |                     94 |                         29 |
| Tracy Wright            |       53 |                     90 |                         11 |
| Christopher Price       |       40 |                     43 |                         12 |
| Scott Larson            |      631 |                     97 |                         25 |
| Nicole Mathis           |       12 |                     78 |                         47 |
| Christina Anthony       |      597 |                     81 |                          5 |
| Ana Olson               |      626 |                     82 |                         24 |
| Jorge Erickson          |        2 |                     94 |                         19 |
| Chad Brown              |      629 |                     63 |                         49 |
| Jonathon Hunter         |      625 |                     47 |                         30 |
| Carolyn Miller          |      800 |                     39 |                         31 |
| Taylor Thompson         |      164 |                     67 |                         35 |
| Maria Olsen             |       76 |                     90 |                         13 |
| Kari Reed               |       41 |                     33 |                         16 |
| Stephanie Gonzalez      |        6 |                     34 |                         16 |
| Matthew Strickland      |       50 |                     51 |                         23 |
| Steven Morris           |       52 |                     61 |                         25 |
| Dillon Ryan             |      685 |                     90 |                         39 |
| Sydney Wood             |       42 |                     28 |                         20 |
| Adam Hendrix            |       98 |                     35 |                         33 |
| Sandra Gross            |      675 |                     41 |                         30 |
| Christopher Douglas     |      788 |                    100 |                         24 |
| Angela Thomas           |      764 |                     52 |                         39 |
| Christina Kelly         |       45 |                     28 |                         22 |
| Erica Stewart           |       13 |                     77 |                         10 |
| Joseph Vasquez          |      707 |                     55 |                         14 |
| Kara Brewer             |      561 |                     49 |                         36 |
| Noah Aguirre            |      729 |                     27 |                         16 |
| Harry Johnson           |       25 |                     41 |                         26 |
| James Clayton           |       26 |                     44 |                         17 |
| Christopher Wade        |       19 |                     25 |                         16 |
| Ryan Smith MD           |      651 |                     98 |                         18 |
| Rhonda Simpson          |       88 |                     91 |                         49 |
| Hannah Cannon           |       23 |                     92 |                         48 |
| Mr. Michael Ortega      |       20 |                     54 |                         46 |
| Peggy Patterson         |       88 |                     91 |                         49 |
| Melissa Watson          |       28 |                     59 |                         20 |
| Tina Foster             |       28 |                     59 |                         20 |
| Steven Burke            |      633 |                     49 |                         29 |
| Samuel Lopez            |       52 |                     61 |                         25 |
| Alejandra Miller        |       98 |                     35 |                         33 |
| Harold Phillips         |       43 |                     63 |                         14 |
| Elizabeth Hunter        |      662 |                     37 |                         29 |
| Adam Mcfarland          |      637 |                     53 |                         10 |
| Christopher Brown       |        6 |                     34 |                         16 |
| Micheal Reynolds        |       16 |                     94 |                         29 |
| Joshua Martinez         |       64 |                     48 |                         47 |
| Anthony Phelps          |       88 |                     91 |                         49 |
| Timothy Larson          |      106 |                     35 |                          3 |
| Justin Hurst            |        4 |                     67 |                         36 |
| Kevin Parker            |       16 |                     94 |                         29 |
| Mr. Dennis Jenkins II   |      713 |                     62 |                         49 |
| Jeremy Bailey           |       57 |                     91 |                         27 |
| Sharon May              |       55 |                     53 |                         37 |
| Judith Phillips         |       57 |                     91 |                         27 |
| Eric Jones              |       17 |                     82 |                         24 |
| Tamara Murphy           |       98 |                     35 |                         33 |
| Tara Wade               |      636 |                     55 |                         28 |
| John Campbell           |       52 |                     61 |                         25 |
| Shelby Garcia           |       97 |                     65 |                         31 |
| Charles Smith           |       24 |                     34 |                         19 |
| Erica Henry             |      654 |                     62 |                         33 |
| Sandra Salinas          |       88 |                     91 |                         49 |
| Joyce Smith             |       28 |                     59 |                         20 |
| Chelsea Johnson         |        5 |                     36 |                          1 |
| Wendy Brown             |       44 |                     30 |                         24 |
| Allison Blackwell MD    |       23 |                     92 |                         48 |
| Erica Daniel            |      617 |                     29 |                         17 |
| William Holmes          |      775 |                     52 |                          2 |
| Alisha Williams         |       32 |                     53 |                         12 |
| Tammy Mack              |        2 |                     94 |                         19 |
| Sarah Yates             |       35 |                     70 |                         34 |
| Cody Burke              |       33 |                     35 |                         35 |
| Victoria Noble          |       18 |                     98 |                         29 |
| Barry Hernandez         |       24 |                     34 |                         19 |
| Terry Le                |       20 |                     54 |                         46 |
| Lisa Escobar            |       23 |                     92 |                         48 |
| Edward Griffin          |      621 |                     58 |                         19 |
| Melissa Jones           |       98 |                     35 |                         33 |
| Melinda Goodman         |      594 |                     50 |                         32 |
| Donald Campbell         |       56 |                     64 |                         43 |
| Stephanie Brown         |      732 |                     36 |                         32 |
| Mary House              |       95 |                     66 |                         35 |
| Shawn Andrews           |       14 |                     89 |                         17 |
| Jessica Tran            |      655 |                     67 |                         40 |
| Heather Miller          |      711 |                     47 |                         36 |
| Carlos Griffith         |       96 |                     88 |                         38 |
| Kimberly Perez          |       25 |                     41 |                         26 |
| Jose Stevens            |      789 |                     97 |                         30 |
| Daniel Santos           |       97 |                     65 |                         31 |
| Amy Allen               |      795 |                    100 |                          9 |
| Justin Ramirez          |       21 |                     98 |                         14 |
| Ricky Hernandez         |      772 |                     39 |                          2 |
| Raymond Avila           |       91 |                     93 |                          8 |
| Jessica Burton          |       17 |                     82 |                         24 |
| Sheila Ayala            |      719 |                     97 |                         41 |
| Jessica Miller          |       17 |                     82 |                         24 |
| Steven Brown            |      771 |                     74 |                         40 |
| James Hernandez         |      130 |                     70 |                         35 |
| Michael Johnson         |       93 |                     39 |                         10 |
| Joseph Cooper           |       49 |                     49 |                         42 |
| Heidi Pierce            |       16 |                     94 |                         29 |
| Peter Smith             |        3 |                     30 |                         28 |
| Mr. Steven Davis        |      641 |                     54 |                         42 |
| Paige Bell              |       98 |                     35 |                         33 |
| Brian Bryant            |       16 |                     94 |                         29 |
| James Scott             |       45 |                     28 |                         22 |
| Chad Palmer             |      663 |                     80 |                          6 |
| Sandra Hall             |      730 |                     79 |                         42 |
| Troy Gilbert            |      624 |                     25 |                          6 |
| Jonathan Harris         |       17 |                     82 |                         24 |
| Alyssa Watson           |       18 |                     98 |                         29 |
| Juan Rodgers            |       96 |                     88 |                         38 |
| Joseph Larson           |       35 |                     70 |                         34 |
| Haley Gilbert           |      638 |                     99 |                         42 |
| Rachel Carter           |       71 |                     67 |                         10 |
| Mrs. Nancy Bartlett PhD |      614 |                     44 |                         33 |
| Tracy Clark             |       49 |                     49 |                         42 |
| Eric Gordon             |       46 |                     92 |                         32 |
| Samantha Hernandez      |       49 |                     49 |                         42 |
| Frances Burton          |       47 |                     50 |                          1 |
| Tiffany Anderson        |       23 |                     92 |                         48 |
| Kevin Richmond          |       64 |                     48 |                         47 |
| Tara Anderson           |       44 |                     30 |                         24 |
| Chris Villa DVM         |      650 |                     87 |                         45 |
| Michael Alvarez         |       28 |                     59 |                         20 |
| Elizabeth Weeks         |      674 |                     79 |                         16 |
| Jasmine Owen            |      799 |                     27 |                         14 |
| Lisa Carter             |      751 |                     36 |                          7 |
| John Mitchell           |       27 |                     74 |                         33 |
| Brittany Vasquez        |      130 |                     70 |                         35 |
| Elizabeth Martinez      |       41 |                     33 |                         16 |
| James Spencer           |      750 |                     43 |                         36 |
| April Howard            |       29 |                     72 |                         18 |
| Meghan Nichols          |       49 |                     49 |                         42 |
| Mariah Terry            |       52 |                     61 |                         25 |
| Peter Martinez          |       18 |                     98 |                         29 |
| Austin Woods            |       46 |                     92 |                         32 |
| Zachary Hill Jr.        |        2 |                     94 |                         19 |
| Louis Ramirez           |      164 |                     67 |                         35 |
| Sarah Williams          |       44 |                     30 |                         24 |
| Lisa Hughes             |      622 |                     89 |                         37 |
| Jessica Ferguson        |       37 |                     28 |                          4 |
| Samantha Pena           |       92 |                     89 |                         48 |
| Lisa Hart               |      104 |                     45 |                          5 |
| Kimberly Gutierrez      |      753 |                     75 |                         40 |
| David Martin            |       40 |                     43 |                         12 |
| Spencer Williams        |       88 |                     91 |                         49 |
| Laura Garcia            |       93 |                     39 |                         10 |
| Kristin Dominguez       |       96 |                     88 |                         38 |
| Bridget Anderson        |      627 |                     64 |                         23 |
| Jacob Mccormick         |       17 |                     82 |                         24 |
| Leah Conway             |      741 |                     38 |                          9 |
| Sarah Yates             |       76 |                     90 |                         13 |
